sid,"splunk_server","_time","is_realtime",provenance,search,"adhoc_search_level","api_et","api_index_et","api_index_lt","event_count","exec_time","result_count","savedsearch_name","scan_count","search_et",status,"total_run_time","__mv_sid","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_search","__mv_adhoc_search_level","__mv_api_et","__mv_api_index_et","__mv_api_index_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_savedsearch_name","__mv_scan_count","__mv_search_et","__mv_status","__mv_total_run_time"
"admin__admin__search__baseSearch_1717115865.789",server,"1717115865.407176",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717101465.000000000",0,0,0,1717115865,1,baseSearch,0,"1717101465.000000000",completed,"0.112",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717115867.802",server,"1717115867.453928",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717101467.000000000",0,0,5,1717115867,5,search14,97,"1717101467.000000000",completed,"0.127",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717115927.819",server,"1717115927.165556",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717101527.000000000",0,0,0,1717115927,1,baseSearch,0,"1717101527.000000000",completed,"0.125",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717115929.832",server,"1717115929.504313",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717101529.000000000",0,0,5,1717115929,5,search14,100,"1717101529.000000000",completed,"0.131",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717115989.849",server,"1717115989.163648",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717101589.000000000",0,0,0,1717115989,1,baseSearch,0,"1717101589.000000000",completed,"0.11800000000000001",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717115991.862",server,"1717115991.462794",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717101591.000000000",0,0,5,1717115991,5,search14,103,"1717101591.000000000",completed,"0.151",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717116051.879",server,"1717116051.166430",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717101651.000000000",0,0,0,1717116051,1,baseSearch,0,"1717101651.000000000",completed,"0.116",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717116053.892",server,"1717116053.491702",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717101653.000000000",0,0,5,1717116053,5,search14,106,"1717101653.000000000",completed,"0.121",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717116113.909",server,"1717116113.171172",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717101713.000000000",0,0,0,1717116113,1,baseSearch,0,"1717101713.000000000",completed,"0.122",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717116115.922",server,"1717116115.543044",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717101715.000000000",0,0,5,1717116115,5,search14,109,"1717101715.000000000",completed,"0.116",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717116175.939",server,"1717116175.164118",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717101775.000000000",0,0,0,1717116175,1,baseSearch,0,"1717101775.000000000",completed,"0.11",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717116177.946",server,"1717116177.509167",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717101777.000000000",0,0,5,1717116177,5,search14,112,"1717101777.000000000",completed,"0.182",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717116236.970",server,"1717116236.333881",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717101836.000000000",0,0,0,1717116236,1,baseSearch,0,"1717101836.000000000",completed,"0.213",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717116239.995",server,"1717116239.291934",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717101839.000000000",0,0,5,1717116239,5,search14,116,"1717101839.000000000",completed,"0.128",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717116296.1000",server,"1717116296.798659",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717101896.000000000",0,0,0,1717116297,1,baseSearch,0,"1717101896.000000000",completed,"0.389",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717116300.1013",server,"1717116300.534677",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717101900.000000000",0,0,5,1717116300,5,search14,119,"1717101900.000000000",completed,"0.14100000000000001",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717116358.1030",server,"1717116358.423545",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717101958.000000000",0,0,0,1717116358,1,baseSearch,0,"1717101958.000000000",completed,"0.11",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717116361.1059",server,"1717116361.408952",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717101961.000000000",0,0,5,1717116361,5,search14,122,"1717101961.000000000",completed,"0.137",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717116418.1060",server,"1717116418.902998",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717102018.000000000",0,0,0,1717116419,1,baseSearch,0,"1717102018.000000000",completed,"0.132",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717116421.1089",server,"1717116421.863893",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717102021.000000000",0,0,5,1717116421,5,search14,125,"1717102021.000000000",completed,"0.153",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717116479.1090",server,"1717116479.422647",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717102079.000000000",0,0,0,1717116479,1,baseSearch,0,"1717102079.000000000",completed,"0.111",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717116482.1119",server,"1717116482.296948",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717102082.000000000",0,0,5,1717116482,5,search14,128,"1717102082.000000000",completed,"0.136",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717116539.1120",server,"1717116539.892626",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717102139.000000000",0,0,0,1717116539,1,baseSearch,0,"1717102139.000000000",completed,"0.114",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717116542.1149",server,"1717116542.764401",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717102142.000000000",0,0,5,1717116542,5,search14,131,"1717102142.000000000",completed,"0.275",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717116600.1150",server,"1717116600.366014",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717102200.000000000",0,0,0,1717116600,1,baseSearch,0,"1717102200.000000000",completed,"0.135",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717116604.1179",server,"1717116604.320636",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717102204.000000000",0,0,5,1717116604,5,search14,134,"1717102204.000000000",completed,"0.127",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717116660.1180",server,"1717116660.852516",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717102260.000000000",0,0,0,1717116660,1,baseSearch,0,"1717102260.000000000",completed,"0.134",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717116664.1209",server,"1717116664.751602",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717102264.000000000",0,0,5,1717116664,5,search14,137,"1717102264.000000000",completed,"0.132",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717116721.1216",server,"1717116721.322551",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717102321.000000000",0,0,0,1717116721,1,baseSearch,0,"1717102321.000000000",completed,"0.10200000000000001",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717116725.1241",server,"1717116725.180761",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717102325.000000000",0,0,5,1717116725,5,search14,142,"1717102325.000000000",completed,"0.333",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717116781.1246",server,"1717116781.795530",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717102381.000000000",0,0,0,1717116781,1,baseSearch,0,"1717102381.000000000",completed,"0.135",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717116786.1271",server,"1717116786.718962",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717102386.000000000",0,0,5,1717116786,5,search14,146,"1717102386.000000000",completed,"0.304",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717116842.1276",server,"1717116842.277972",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717102442.000000000",0,0,0,1717116842,1,baseSearch,0,"1717102442.000000000",completed,"0.126",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717116848.1301",server,"1717116848.338017",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717102448.000000000",0,0,5,1717116848,5,search14,148,"1717102448.000000000",completed,"0.117",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717116902.1306",server,"1717116902.734675",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717102502.000000000",0,0,0,1717116902,1,baseSearch,0,"1717102502.000000000",completed,"0.11900000000000001",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717116908.1331",server,"1717116908.764053",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717102508.000000000",0,0,5,1717116908,5,search14,7,"1717102508.000000000",completed,"0.099",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717116963.1338",server,"1717116963.440988",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717102563.000000000",0,0,0,1717116963,1,baseSearch,0,"1717102563.000000000",completed,"0.136",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717116969.1363",server,"1717116969.189223",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717102569.000000000",0,0,5,1717116969,5,search14,12,"1717102569.000000000",completed,"0.159",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717117024.1368",server,"1717117024.215828",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717102624.000000000",0,0,0,1717117024,1,baseSearch,0,"1717102624.000000000",completed,"0.12",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717117030.1393",server,"1717117030.199489",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717102630.000000000",0,0,5,1717117030,5,search14,15,"1717102630.000000000",completed,"0.109",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717117086.1398",server,"1717117086.278353",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717102686.000000000",0,0,0,1717117086,1,baseSearch,0,"1717102686.000000000",completed,"0.159",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717117092.1423",server,"1717117092.278470",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717102692.000000000",0,0,5,1717117092,5,search14,81,"1717102692.000000000",completed,"0.217",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717117148.1430",server,"1717117148.356713",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717102748.000000000",0,0,0,1717117148,1,baseSearch,0,"1717102748.000000000",completed,"0.12",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717117154.1455",server,"1717117154.197075",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717102754.000000000",0,0,5,1717117154,5,search14,49,"1717102754.000000000",completed,"0.121",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717117210.1464",server,"1717117210.219683",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717102810.000000000",0,0,0,1717117210,1,baseSearch,0,"1717102810.000000000",completed,"0.123",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717117216.1489",server,"1717117216.206672",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717102816.000000000",0,0,5,1717117216,5,search14,30,"1717102816.000000000",completed,"0.098",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717117271.1494",server,"1717117271.345982",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717102871.000000000",0,0,0,1717117271,1,baseSearch,0,"1717102871.000000000",completed,"0.131",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717117277.1519",server,"1717117277.330118",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717102877.000000000",0,0,5,1717117277,5,search14,33,"1717102877.000000000",completed,"0.105",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717117332.1524",server,"1717117332.300184",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717102932.000000000",0,0,0,1717117332,1,baseSearch,0,"1717102932.000000000",completed,"0.243",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717117338.1549",server,"1717117338.354621",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717102938.000000000",0,0,5,1717117338,5,search14,36,"1717102938.000000000",completed,"0.095",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717117394.1554",server,"1717117394.231547",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717102994.000000000",0,0,0,1717117394,1,baseSearch,0,"1717102994.000000000",completed,"0.106",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717117400.1579",server,"1717117400.209210",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717103000.000000000",0,0,5,1717117400,5,search14,39,"1717103000.000000000",completed,"0.098",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717117456.1584",server,"1717117456.221956",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717103056.000000000",0,0,0,1717117456,1,baseSearch,0,"1717103056.000000000",completed,"0.111",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717117462.1609",server,"1717117462.208028",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717103062.000000000",0,0,5,1717117462,5,search14,42,"1717103062.000000000",completed,"0.133",,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch_1717117518.1616",server,"1717117518.225226",0,"UI:Dashboard:job_details_dashboard","| rest /services/search/jobs/1717115559.659 splunk_server=local","","1717103118.000000000",0,0,0,1717117518,1,baseSearch,0,"1717103118.000000000",completed,"0.11",,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1717117524.1641",server,"1717117524.215460",0,"UI:Dashboard:job_details_dashboard","search index=""_introspection"" sourcetype=search_telemetry search_id=*1717115559.659* | spath path=search_commands{}.name output=command | spath path=search_commands{}.duration output=duration | eval fields=mvzip(command, duration, "","") | mvexpand fields | rex field=fields ""(?<Command>[^,]+),(?<Duration>.+)$""
                        | table Command, Duration","","1717103124.000000000",0,0,5,1717117524,5,search14,47,"1717103124.000000000",completed,"0.10300000000000001",,,,,,,,,,,,,,,,,,
